0,461538,0,0,
2879,61,120,104,
2999,58,119,31,
3059,58,98,49,
3121,56,119,112,
3239,54,120,39,
3300,54,104,43,
3359,61,119,97,
3481,58,119,81,
3600,56,119,49,
3661,58,109,98,
3779,56,113,112,
3899,56,119,49,
3959,61,119,47,
4019,61,115,48,
4080,58,115,35,
4139,58,106,46,
4200,56,119,90,
4321,61,119,47,
4381,58,119,95,
4501,56,118,85,
4620,58,117,91,
4739,56,117,111,
4859,56,109,47,
4919,59,119,107,
5039,58,118,49,
5099,54,118,83,
5279,56,118,43,
5339,58,119,97,
5461,58,115,103,
5579,56,117,50,
5639,54,119,92,
5759,56,119,220,
5999,58,117,202,
6719,61,117,107,
6839,58,118,35,
6899,58,96,51,
6959,56,118,94,
7081,54,118,42,
7139,54,118,46,
7199,61,115,48,
7259,61,115,46,
7319,58,114,93,
7439,56,109,46,
7501,58,106,105,
7621,56,114,103,
7739,56,113,47,
7799,61,119,32,
7859,61,101,46,
7919,58,117,36,
7979,58,117,47,
8039,56,115,42,
8099,56,115,47,
8159,61,118,33,
8219,61,106,41,
8279,58,118,107,
8399,56,115,55,
8459,58,115,110,
8579,56,115,96,
8699,54,113,42,
8759,59,115,105,
8879,58,113,58,
8939,54,113,104,
9119,56,117,55,
9181,58,115,93,
9301,58,117,99,
9419,56,106,54,
9479,54,115,93,
9599,56,117,225,
9839,58,115,268,
10499,61,115,55,
10559,63,115,109,
10679,66,117,102,
10799,68,117,100,
10919,66,113,91,
11039,63,115,103,
11159,66,113,101,
11279,68,103,102,
11399,66,119,91,
11519,61,118,113,
11639,66,117,100,
11759,66,115,50,
11819,68,114,43,
11881,66,109,96,
11999,68,115,96,
12119,68,115,54,
12179,70,118,53,
12239,68,115,102,
12359,66,113,107,
12479,63,117,49,
12539,66,115,25,
12571,66,115,25,
12599,66,115,51,
12659,63,115,53,
12719,68,113,85,
12839,61,115,51,
12899,61,114,52,
12959,63,122,53,
13019,66,119,50,
13079,63,117,55,
13139,66,115,95,
13261,63,118,43,
13319,66,117,44,
13381,63,117,40,
13499,70,114,50,
13559,68,114,44,
13619,68,114,90,
13739,66,117,32,
13799,66,103,44,
13859,70,117,51,
13919,68,119,39,
13979,66,115,31,
14039,66,115,83,
14159,68,117,51,
14219,66,119,46,
14279,66,117,51,
14339,68,114,50,
14401,70,115,99,
14519,68,106,53,
14580,70,113,154,
14759,68,109,48,
14821,70,117,105,
14941,68,109,43,
15001,70,115,35,
15059,70,118,58,
15119,68,119,116,
15239,66,117,98,
15359,70,115,104,
15481,68,118,48,
15541,70,117,136,
15718,68,118,51,
15779,70,115,97,
15900,68,115,47,
15961,70,115,97,
16080,68,115,104,
16199,66,115,100,
16319,71,117,168,
16501,70,118,97,
16679,63,114,204,
16919,66,114,35,
16979,66,117,33,
17039,66,115,51,
17099,63,115,53,
17159,61,115,101,
17279,71,118,169,
17459,70,114,151,
17639,59,115,217,
17879,59,117,31,
17939,59,117,32,
17999,59,117,109,
18119,58,117,39,
18179,58,117,213,
19199,61,118,99,
19319,58,115,32,
19379,58,113,49,
19439,56,118,112,
19561,54,113,49,
19621,61,118,90,
19739,61,115,48,
19799,58,114,32,
19859,58,118,47,
19919,56,118,51,
19979,58,114,107,
20099,56,115,114,
20219,56,113,47,
20279,61,112,34,
20339,61,109,44,
20399,58,115,28,
20459,58,114,47,
20519,56,117,36,
20579,56,115,40,
20639,61,117,52,
20699,58,115,65,
20819,56,119,84,
20939,58,114,93,
21059,56,114,162,
21239,59,117,51,
21299,58,115,51,
21359,59,117,48,
21419,58,122,40,
21479,59,119,51,
21539,58,117,52,
21601,59,115,63,
21720,59,115,48,
21779,61,114,39,
21839,63,114,48,
21899,66,114,84,
22019,68,117,121,
22259,66,115,34,
22319,66,115,53,
22379,68,104,52,
22439,66,115,108,
22559,71,118,114,
22679,70,119,47,
22739,68,117,46,
22800,68,117,48,
22861,66,118,89,
22981,65,113,52,
23040,66,115,82,
23159,61,119,40,
23219,61,117,47,
23279,58,117,106,
23400,56,117,52,
23459,54,117,45,
23519,61,117,50,
23581,58,115,59,
23701,56,115,79,
23821,58,114,103,
23939,56,117,108,
24059,56,115,53,
24119,61,114,41,
24179,61,114,48,
