{0,731707,0},
{0,60,455},
{0,64,455},
{0,41,455},
{480,60,341},
{480,64,341},
{840,60,341},
{840,64,341},
{1200,60,683},
{1200,64,683},
{1920,60,455},
{1920,64,455},
{1920,41,455},
{2400,60,341},
{2400,64,341},
{2760,60,341},
{2760,64,341},
{3120,60,227},
{3120,64,227},
{3480,76,100},
{3600,77,100},
{3720,81,100},
{3840,84,455},
{3840,41,455},
{4320,60,341},
{4320,64,341},
{4680,60,341},
{4680,64,341},
{5040,60,683},
{5040,64,683},
{5400,84,100},
{5520,81,100},
{5640,77,100},
{5760,76,455},
{5760,41,455},
{6240,60,341},
{6240,64,341},
{6600,60,341},
{6600,64,341},
{6960,60,683},
{6960,64,683},
{7681,41,455},
{8161,60,341},
{8161,64,341},
{8521,60,341},
{8521,64,341},
{8881,60,683},
{8881,64,683},
{9120,93,683},
{9600,41,455},
{9600,52,455},
{9840,88,2963},
{10080,60,341},
{10080,64,341},
{10440,57,341},
{10440,60,341},
{10800,53,455},
{10800,57,455},
{11280,41,227},
{11520,41,455},
{11520,52,455},
{12000,53,341},
{12000,57,341},
{12360,60,341},
{12360,64,341},
{12720,52,455},
{12960,98,341},
{13200,53,227},
{13320,96,341},
{13440,41,455},
{13446,52,455},
{13680,93,1595},
{13920,60,341},
{13920,64,341},
{14280,57,341},
{14280,60,341},
{14640,53,455},
{14640,57,455},
{15120,41,227},
{15360,41,455},
{15360,52,455},
{15415,91,63},
{15840,53,341},
{15840,57,341},
{16200,57,341},
{16200,60,341},
{16200,64,341},
{16560,52,225},
{16560,57,455},
{16800,88,683},
{16800,93,683},
{17040,53,227},
{17280,41,455},
{17280,52,455},
{17520,88,911},
{17760,60,341},
{17760,64,341},
{18120,57,341},
{18120,60,341},
{18480,53,455},
{18480,57,455},
{18720,81,227},
{18960,84,113},
{18960,41,227},
{19080,88,341},
{19200,41,455},
{19200,52,455},
{19440,86,113},
{19560,86,341},
{19680,53,341},
{19680,57,341},
{19920,84,113},
{20040,88,341},
{20040,60,341},
{20040,64,341},
{20400,86,113},
{20400,52,455},
{20400,57,455},
{20520,86,341},
