{0,428572,0,0},
{0,66,45,227},
{0,85,49,455},
{0,94,49,455},
{240,73,45,227},
{480,94,49,455},
{480,73,45,911},
{960,94,49,227},
{1200,92,49,227},
{1440,61,45,227},
{1440,85,49,1367},
{1440,89,49,1367},
{1680,68,45,227},
{1920,65,45,683},
{2640,63,45,911},
{3120,89,49,227},
{3360,92,49,227},
{3600,89,49,227},
{3840,53,45,227},
{3840,81,49,455},
{3840,87,49,455},
{4080,57,45,227},
{4320,89,49,455},
{4320,63,45,911},
{4800,87,49,227},
{5040,85,49,227},
{5280,54,45,227},
{5280,58,45,227},
{5280,77,49,1823},
{5280,82,49,1823},
{5520,61,45,227},
{5760,61,45,227},
{5760,65,45,227},
{6000,63,45,227},
{6240,58,45,227},
{6240,61,45,227},
{6480,63,45,227},
{6720,53,45,227},
{6720,57,45,227},
{6960,58,45,683},
{7200,77,49,227},
{7440,80,49,227},
{7680,73,49,455},
{7680,82,49,455},
{7680,54,45,1367},
{7680,61,45,1367},
{7680,66,45,1367},
{8160,82,49,455},
{8640,82,49,227},
{8880,80,49,227},
{9120,49,45,227},
{9120,73,49,1367},
{9120,77,49,1367},
{9360,56,45,227},
{9600,53,45,683},
{10320,51,45,911},
{10800,77,49,227},
{11040,80,49,227},
{11280,77,49,227},
{11520,41,45,113},
{11520,65,49,455},
{11520,69,49,455},
{11640,45,45,113},
{11760,51,45,113},
{11880,53,45,113},
{12000,77,49,455},
{12000,57,45,911},
{12480,73,49,227},
{12720,72,49,227},
{12960,46,45,911},
{12960,49,45,911},
{12960,53,45,911},
{12960,70,49,1823},
{13920,46,45,455},
{13920,49,45,455},
{13920,53,45,455},
{14400,34,58,911},
{14400,46,58,911},
{14880,61,64,113},
{15000,63,64,113},
{15120,65,64,227},
{15360,30,58,227},
{15360,58,64,455},
{15360,63,64,455},
{15600,42,58,227},
{15840,58,64,683},
{15840,49,58,911},
{16560,58,64,227},
{16800,61,64,113},
{16800,42,58,455},
{16920,63,64,113},
{17040,65,64,227},
{17280,34,58,227},
{17280,58,64,1367},
{17280,63,64,1367},
{17520,41,58,227},
{17760,41,58,227},
{18000,46,58,227},
{18240,53,58,227},
{18480,46,58,683},
{18720,61,64,113},
{18840,63,64,113},
{18960,65,64,227},
{19200,32,58,227},
{19200,58,64,455},
{19200,63,64,455},
{19440,44,58,227},
{19680,58,64,683},
{19680,51,58,911},
{20400,58,64,227},
{20640,61,64,113},
{20640,44,58,455},
{20760,63,64,113},
{20880,65,64,227},
{21120,30,58,227},
{21120,58,64,1367},
{21120,63,64,1367},
{21360,42,58,227},
{21600,49,58,227},
{21840,42,58,227},
{22080,37,58,911},
{22560,65,64,113},
{22680,63,64,113},
{22800,61,64,227},
{23040,58,64,455},
{23040,63,64,455},
{23040,42,58,683},
{23040,49,58,683},
{23520,58,64,683},
{23760,42,58,683},
{23760,49,58,683},
{24240,58,64,227},
{24480,61,64,113},
{24480,42,58,113},
{24600,63,64,113},
{24600,49,58,113},
{24720,65,64,227},
{24720,37,58,227},
{24960,34,58,683},
{24960,41,58,683},
{24960,58,64,1367},
{24960,63,64,1367},
{25680,34,58,683},
{25680,41,58,683},
{26400,63,64,113},
{26400,34,58,113},
{26520,63,64,113},
{26520,41,58,113},
{26640,65,64,227},
{26640,29,58,227},
{26880,58,64,455},
{26880,63,64,455},
{26880,44,58,683},
{26880,51,58,683},
{27360,58,64,683},
{27600,44,58,683},
{27600,51,58,683},
{28080,58,64,227},
{28320,61,64,113},
{28320,44,58,113},
{28440,63,64,113},
{28440,51,58,113},
{28560,65,64,227},
{28560,39,58,227},
{28800,60,64,341},
{28800,41,58,1367},
{29160,60,64,341},
{29520,61,64,227},
{29760,58,64,227},
{30000,65,64,227},
{30240,63,64,227},
{30240,42,58,455},
{30240,49,58,455},
{30480,61,64,227},
{30720,58,64,341},
{30720,63,64,341},
{30720,42,58,911},
{30720,49,58,911},
{31080,63,64,113},
