 0, 428572,0
 0, 85, 49
 0, 94, 49
 0, 66, 45
 227, 66, 0
 240, 73, 45
 455, 85, 0
 455, 94, 0
 467, 73, 0
 480, 94, 49
 480, 73, 45
 935, 94, 0
 960, 94, 49
 1187, 94, 0
 1200, 92, 49
 1391, 73, 0
 1427, 92, 0
 1440, 85, 49
 1440, 89, 49
 1440, 61, 45
 1667, 61, 0
 1680, 68, 45
 1907, 68, 0
 1920, 65, 45
 2603, 65, 0
 2640, 63, 45
 2807, 85, 0
 2807, 89, 0
 3120, 89, 49
 3347, 89, 0
 3360, 92, 49
 3551, 63, 0
 3587, 92, 0
 3600, 89, 49
 3827, 89, 0
 3840, 81, 49
 3840, 87, 49
 3840, 53, 45
 4067, 53, 0
 4080, 57, 45
 4295, 81, 0
 4295, 87, 0
 4307, 57, 0
 4320, 89, 49
 4320, 63, 45
 4775, 89, 0
 4800, 87, 49
 5027, 87, 0
 5040, 85, 49
 5231, 63, 0
 5267, 85, 0
 5280, 77, 49
 5280, 82, 49
 5280, 54, 45
 5280, 58, 45
 5507, 54, 0
 5507, 58, 0
 5520, 61, 45
 5747, 61, 0
 5760, 61, 45
 5760, 65, 45
 5987, 61, 0
 5987, 65, 0
 6000, 63, 45
 6227, 63, 0
 6240, 58, 45
 6240, 61, 45
 6467, 58, 0
 6467, 61, 0
 6480, 63, 45
 6707, 63, 0
 6720, 53, 45
 6720, 57, 45
 6947, 53, 0
 6947, 57, 0
 6960, 58, 45
 7103, 77, 0
 7103, 82, 0
 7200, 77, 49
 7427, 77, 0
 7440, 80, 49
 7643, 58, 0
 7667, 80, 0
 7680, 73, 49
 7680, 82, 49
 7680, 54, 45
 7680, 61, 45
 7680, 66, 45
 8135, 73, 0
 8135, 82, 0
 8160, 82, 49
 8615, 82, 0
 8640, 82, 49
 8867, 82, 0
 8880, 80, 49
 9047, 54, 0
 9047, 61, 0
 9047, 66, 0
 9107, 80, 0
 9120, 73, 49
 9120, 77, 49
 9120, 49, 45
 9347, 49, 0
 9360, 56, 45
 9587, 56, 0
 9600, 53, 45
 10283, 53, 0
 10320, 51, 45
 10487, 73, 0
 10487, 77, 0
 10800, 77, 49
 11027, 77, 0
